Months_As_Customer,Age,Policy_Number,Policy_Bind_Date,Policy_State,Policy_Csl,Policy_Deductable,Income,Policy_Annual_Premium,Insured_Zip,Insured_Sex,Insured_Education_Level,Insured_Occupation,Insured_Hobbies,Insured_Relationship,Incident_Date,Incident_Type,Collision_Type,Incident_Severity,Incident_State,Incident_City,Bodily_Injuries,Witnesses,Total_Claim_Amount,Injury_Claim,Vehicle_Claim,Auto_Make,Auto_Model,CAR_USE,URBANICITY,Auto_Year
447,61,214618,29-05-1999,OH,100/300,2000,49522,1137.16,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,15-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Springfield,1,2,114920,17680,79560,Audi,A3,Commercial,Urban,2006
60,23,842643,20-11-1997,OH,500/1000,500,11002,1215.36,432220,MALE,MD,protective-serv,reading,wife,22-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,Northbend,1,0,56520,4710,42390,Saab,95,Private,Rural,2000
121,34,626808,26-10-2012,OH,100/300,1000,40015,936.61,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,08-01-2015,Parked Car,Others,Minor Damage,SC,Springfield,1,1,7280,1120,5040,Toyota,Highlander,Commercial,Urban,2010
180,38,644081,28-12-1998,OH,250/500,2000,6284,1301.13,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,15-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,SC,Springfield,0,2,46200,4200,33600,Dodge,Neon,Private,Urban,2003
473,58,892874,19-10-1992,IN,100/300,2000,479,1131.4,458733,FEMALE,MD,transport-moving,movies,other-relative,29-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Hillsdale,0,0,63120,10520,42080,Accura,MDX,Private,Urban,1999
70,26,558938,08-06-2005,OH,500/1000,1000,0,1199.44,619884,MALE,College,machine-op-inspct,hiking,own-child,22-02-2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Riverwood,1,2,52110,5790,40530,Nissan,Maxima,Private,Urban,2012
140,31,275265,15-11-2004,IN,500/1000,500,6284,708.64,470610,MALE,High School,machine-op-inspct,reading,unmarried,06-01-2015,Single Vehicle Collision,Side Collision,Total Loss,WV,Northbend,0,2,77880,14160,56640,Suburu,Legacy,Private,Urban,2015
160,37,921202,28-12-2014,OH,500/1000,500,3871,1374.22,472135,FEMALE,MD,craft-repair,yachting,other-relative,19-01-2015,Single Vehicle Collision,Side Collision,Total Loss,NY,Northbrook,1,0,72930,6630,53040,Accura,TL,Private,Rural,2015
196,39,143972,02-08-1992,IN,500/1000,2000,3871,1475.73,477670,FEMALE,High School,handlers-cleaners,camping,own-child,22-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,VA,Columbus,2,0,60400,6040,48320,Nissan,Pathfinder,Private,Urban,2014
460,62,183430,25-06-2002,IN,250/500,1000,1774,1187.96,618845,MALE,JD,other-service,bungie-jumping,own-child,01-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,1,0,47160,0,41920,Suburu,Impreza,Private,Rural,2011
217,41,431876,27-11-2005,IL,500/1000,2000,5336,875.15,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,10-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,1,2,37840,0,33110,Accura,RSX,Private,Urban,1996
370,55,285496,27-05-1994,IL,100/300,2000,5228,972.18,443920,MALE,High School,prof-specialty,paintball,other-relative,11-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Hillsdale,0,0,71520,17880,47680,Suburu,Forrestor,Commercial,Urban,2000
413,55,115399,08-02-1991,IN,100/300,2000,37536,1268.79,453148,MALE,MD,priv-house-serv,chess,own-child,19-01-2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbend,2,2,98160,8180,73620,Dodge,RAM,Private,Rural,2011
237,40,736882,02-02-1996,IN,100/300,1000,0,883.31,434733,MALE,College,craft-repair,kayaking,husband,24-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,VA,Riverwood,1,3,77880,7080,56640,Ford,Escape,Private,Rural,2005
8,35,699044,05-12-2013,OH,100/300,2000,0,1266.92,613982,MALE,Masters,sales,polo,own-child,09-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,OH,Arlington,1,3,71500,16500,44000,Ford,Escape,Private,Rural,2006
257,43,863236,20-09-1990,IN,100/300,2000,38681,1322.1,436984,MALE,High School,prof-specialty,golf,own-child,28-01-2015,Parked Car,Others,Minor Damage,PA,Arlington,1,3,9020,1640,6560,Toyota,Camry,Private,Urban,2005
202,34,608513,18-07-2002,IN,100/300,500,4209,848.07,607730,MALE,JD,exec-managerial,chess,not-in-family,07-01-2015,Vehicle Theft,Others,Minor Damage,VA,Northbrook,2,1,5720,1040,4160,Suburu,Forrestor,Private,Urban,2003
224,40,914088,08-02-1990,OH,100/300,2000,19933,1291.7,609837,FEMALE,JD,sales,kayaking,not-in-family,08-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Northbend,1,0,69840,7760,46560,Dodge,Neon,Commercial,Urban,2009
241,45,596785,04-03-2014,IL,500/1000,2000,1114,1104.5,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,15-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbrook,2,2,91650,14100,63450,Accura,TL,Private,Rural,2011
64,25,908616,18-02-2000,IL,250/500,1000,5411,954.16,473328,MALE,Masters,prof-specialty,video-games,husband,18-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,0,0,75600,12600,50400,Toyota,Corolla,Private,Rural,2005
166,37,666333,19-06-2008,IL,100/300,2000,5411,1337.28,610393,MALE,JD,craft-repair,reading,husband,28-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,Riverwood,2,2,67140,7460,52220,Ford,F150,Commercial,Rural,2006
155,35,336614,01-08-2003,IL,500/1000,1000,0,1088.34,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,24-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,NY,Arlington,2,3,29790,3310,23170,BMW,3 Series,Commercial,Rural,2008
114,30,584859,04-04-1992,IL,100/300,1000,0,1558.29,472248,MALE,High School,farming-fishing,video-games,wife,09-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,Hillsdale,1,2,77110,14020,49070,Suburu,Impreza,Commercial,Rural,2015
149,37,990493,13-01-1991,IL,500/1000,500,5939,1415.68,603381,MALE,PhD,prof-specialty,yachting,own-child,12-02-2015,Single Vehicle Collision,Side Collision,Total Loss,WV,Hillsdale,0,1,64800,10800,48600,Audi,A3,Commercial,Rural,1999
147,33,129872,08-08-2010,OH,100/300,1000,18483,1334.15,479224,MALE,High School,craft-repair,reading,not-in-family,24-01-2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Springfield,2,0,53100,10620,37170,Mercedes,C300,Private,Urban,1995
62,28,200152,09-03-2003,IL,100/300,1000,360,988.45,430141,FEMALE,Masters,protective-serv,camping,unmarried,09-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,NY,Northbrook,1,1,60200,6020,48160,Suburu,Forrestor,Commercial,Rural,2004
289,49,933293,03-02-1993,IL,500/1000,2000,360,1222.48,620757,FEMALE,JD,priv-house-serv,golf,unmarried,18-01-2015,Parked Car,Others,Minor Damage,WV,Arlington,1,1,5330,1230,3280,Suburu,Legacy,Commercial,Rural,2001
431,54,485664,25-11-2002,IN,500/1000,2000,32391,1155.55,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,21-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Hillsdale,2,0,62300,12460,43610,Jeep,Wrangler,Commercial,Rural,2007
199,37,982871,27-07-1997,IN,250/500,500,40022,1262.08,474615,MALE,JD,tech-support,video-games,wife,08-01-2015,Single Vehicle Collision,Front Collision,Major Damage,NC,Columbus,0,3,60170,10940,38290,Nissan,Pathfinder,Private,Urban,2011
79,26,206213,08-05-1995,IL,100/300,500,0,1451.62,456446,MALE,Associate,tech-support,kayaking,not-in-family,03-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Columbus,2,2,40000,8000,28000,BMW,M5,Commercial,Rural,2010
116,34,616337,30-08-2012,IN,250/500,500,0,1737.66,470577,MALE,Associate,transport-moving,chess,unmarried,01-01-2015,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbrook,1,1,97080,16180,64720,BMW,X5,Private,Urban,2001
37,23,448961,30-04-2006,IL,500/1000,500,23452,1475.93,441648,FEMALE,College,prof-specialty,hiking,husband,16-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,Springfield,1,0,51660,5740,40180,Dodge,RAM,Private,Urban,2010
106,30,790442,13-04-2003,OH,250/500,500,0,538.17,433782,FEMALE,PhD,transport-moving,reading,own-child,10-02-2015,Single Vehicle Collision,Rear Collision,Total Loss,NC,Arlington,2,2,51120,5680,39760,Mercedes,E400,Private,Urban,2005
269,44,108844,05-12-2007,IL,100/300,2000,747,1081.08,468104,MALE,JD,priv-house-serv,reading,unmarried,14-02-2015,Single Vehicle Collision,Front Collision,Minor Damage,SC,Springfield,0,2,56400,11280,33840,Toyota,Highlander,Commercial,Urban,2014
265,40,430029,21-08-2006,IL,250/500,1000,33571,1454.43,459407,FEMALE,MD,protective-serv,yachting,husband,21-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,Arlington,2,3,55120,6890,48230,Accura,MDX,Commercial,Rural,2002
163,33,529112,08-01-1990,IN,100/300,500,11047,1240.47,472573,FEMALE,Associate,other-service,polo,husband,18-02-2015,Multi-vehicle Collision,Rear Collision,Total Loss,NC,Northbend,1,1,77110,0,63090,Honda,Civic,Private,Urban,2014
355,47,939631,18-03-1990,OH,500/1000,2000,2214,1273.7,433473,MALE,College,other-service,kayaking,husband,10-01-2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Arlington,2,1,62800,6280,50240,Audi,A3,Private,Urban,2003
175,34,866931,07-01-2008,IN,500/1000,1000,36821,1123.87,446326,FEMALE,PhD,protective-serv,dancing,other-relative,26-02-2015,Vehicle Theft,Others,Trivial Damage,NY,Arlington,2,0,7290,810,5670,Volkswagen,Passat,Private,Urban,1995
192,35,582011,10-03-1997,IL,100/300,1000,0,1245.89,435481,FEMALE,Masters,exec-managerial,movies,wife,01-01-2015,Single Vehicle Collision,Rear Collision,Total Loss,WV,Springfield,0,0,76600,15320,53620,Mercedes,C300,Private,Urban,2000
430,59,691189,10-01-2004,OH,250/500,2000,18632,1326.62,477310,MALE,MD,other-service,bungie-jumping,own-child,03-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Riverwood,0,3,81800,16360,57260,Nissan,Pathfinder,Private,Rural,1998
91,27,537546,20-08-1994,IL,100/300,2000,23005,1073.83,609930,FEMALE,JD,farming-fishing,polo,husband,17-01-2015,Vehicle Theft,Others,Trivial Damage,NY,Arlington,1,2,7260,1320,5280,BMW,M5,Private,Urban,2008
217,39,394975,02-06-2002,IN,100/300,1000,3461,1530.52,603993,MALE,College,armed-forces,basketball,not-in-family,22-02-2015,Vehicle Theft,Others,Minor Damage,WV,Northbend,2,1,4300,430,3440,Toyota,Corolla,Commercial,Urban,2000
223,40,729634,28-04-1994,IN,100/300,500,12301,1201.41,437818,FEMALE,JD,priv-house-serv,movies,husband,27-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,NC,Columbus,1,0,70510,12820,44870,Suburu,Forrestor,Commercial,Urban,1999
195,39,282195,17-08-2014,OH,250/500,1000,0,1393.57,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,27-02-2015,Parked Car,Others,Minor Damage,VA,Northbend,0,1,2640,480,1680,Ford,F150,Private,Urban,2009
22,26,420810,11-08-2007,OH,100/300,1000,12825,1276.57,467784,MALE,PhD,craft-repair,skydiving,not-in-family,06-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,NY,Arlington,1,2,78900,15780,55230,Chevrolet,Silverado,Commercial,Urban,1995
439,56,524836,20-11-2008,IN,250/500,500,20646,1082.49,606714,FEMALE,PhD,prof-specialty,chess,unmarried,28-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,SC,Columbus,2,3,56430,0,50160,Honda,CRV,Private,Urban,2014
94,32,307195,18-10-1995,IN,500/1000,1000,5442,1414.74,464691,FEMALE,Masters,adm-clerical,hiking,own-child,22-02-2015,Parked Car,Others,Minor Damage,VA,Riverwood,1,3,2400,300,1800,Chevrolet,Silverado,Commercial,Urban,2014
11,39,623648,19-05-1993,IL,250/500,2000,27239,1470.06,431683,MALE,PhD,other-service,yachting,husband,07-01-2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Riverwood,0,1,65790,7310,51170,Saab,93,Private,Urban,2007
151,36,485372,26-02-2005,OH,250/500,2000,0,870.63,431725,FEMALE,MD,adm-clerical,kayaking,own-child,06-01-2015,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,1,1,62920,11440,45760,Ford,Escape,Private,Rural,2000
154,34,598554,14-02-1990,IN,100/300,500,0,795.23,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,10-01-2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,Springfield,2,1,69480,15440,54040,Nissan,Maxima,Private,Rural,2014
245,44,303987,30-09-1993,IL,500/1000,1000,34811,1168.2,452787,MALE,JD,handlers-cleaners,basketball,husband,11-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,OH,Springfield,0,3,44280,7380,33210,Honda,Accord,Private,Urban,1997
119,32,343161,10-06-2014,IL,500/1000,1000,68687,993.51,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,12-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,0,3,56300,5630,39410,BMW,M5,Private,Urban,2011
215,42,519312,28-10-2008,OH,500/1000,500,68687,1848.81,435489,MALE,JD,transport-moving,video-games,own-child,06-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,WV,Northbend,2,2,68520,11420,51390,Suburu,Legacy,Private,Urban,2003
295,42,132902,24-04-2007,OH,250/500,2000,11666,1641.73,450149,MALE,PhD,sales,chess,not-in-family,20-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,VA,Riverwood,0,0,59130,6570,45990,Ford,Escape,Private,Urban,2006
254,39,332867,13-12-1993,IN,100/300,500,5367,1362.87,458364,FEMALE,MD,exec-managerial,chess,other-relative,22-02-2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Arlington,2,2,82320,13720,61740,Dodge,Neon,Commercial,Rural,1995
107,31,356590,17-08-2011,IN,250/500,500,14307,1239.22,476458,FEMALE,High School,tech-support,paintball,not-in-family,30-01-2015,Single Vehicle Collision,Side Collision,Minor Damage,SC,Springfield,0,1,89700,13800,62100,Audi,A5,Private,Urban,2009
478,64,346002,20-08-1990,OH,250/500,500,5822,835.02,602433,FEMALE,Associate,adm-clerical,reading,unmarried,02-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,WV,Hillsdale,1,1,33930,0,30160,BMW,X6,Private,Urban,1998
128,30,500533,11-02-1994,OH,100/300,1000,16193,1061.33,478575,MALE,MD,machine-op-inspct,movies,own-child,10-01-2015,Single Vehicle Collision,Front Collision,Major Damage,WV,Northbrook,0,3,68530,12460,49840,Audi,A5,Private,Rural,1997
338,49,348209,22-02-1994,IN,500/1000,1000,13991,1279.08,449718,MALE,MD,other-service,kayaking,own-child,27-02-2015,Parked Car,Others,Minor Damage,NC,Riverwood,0,1,4300,860,2580,Ford,F150,Commercial,Rural,2004
271,42,486676,15-08-2011,OH,100/300,500,11664,1105.49,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,20-02-2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Hillsdale,2,3,68310,12420,49680,Audi,A3,Private,Urban,2003
222,41,260845,11-11-1998,OH,100/300,2000,94566,1055.53,441992,FEMALE,MD,armed-forces,cross-fit,not-in-family,08-02-2015,Single Vehicle Collision,Front Collision,Total Loss,WV,Northbrook,0,2,61290,6810,47670,Honda,Civic,Private,Rural,1995
199,41,657045,04-12-1995,OH,250/500,1000,24666,895.83,452597,FEMALE,Associate,sales,paintball,husband,11-02-2015,Single Vehicle Collision,Rear Collision,Minor Damage,NC,Arlington,1,2,30100,3010,27090,Chevrolet,Malibu,Commercial,Urban,1999
215,37,761189,28-12-2002,IN,100/300,500,40245,1632.93,614417,FEMALE,College,transport-moving,golf,not-in-family,23-02-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Riverwood,2,0,57120,9520,42840,Mercedes,C300,Private,Urban,2002
192,40,175177,15-04-2004,IL,100/300,1000,144500,1405.99,472895,FEMALE,Associate,sales,yachting,wife,01-03-2015,Multi-vehicle Collision,Side Collision,Minor Damage,VA,Springfield,1,0,42930,9540,28620,BMW,X6,Commercial,Rural,2005
120,35,116700,02-02-2001,OH,100/300,1000,57504,1425.54,475847,FEMALE,High School,transport-moving,bungie-jumping,other-relative,15-01-2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Riverwood,2,0,51210,11380,34140,Ford,Fusion,Private,Urban,2010
270,45,166264,12-01-2010,OH,500/1000,1000,20220,1038.09,476978,FEMALE,College,handlers-cleaners,golf,husband,14-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,1,1,89400,14900,67050,Suburu,Legacy,Commercial,Urban,1998
319,47,527945,14-04-1992,IN,250/500,500,6862,1307.11,600648,MALE,College,transport-moving,dancing,not-in-family,17-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,Northbrook,0,2,59730,10860,38010,Audi,A3,Private,Urban,2005
194,39,627540,21-05-2010,OH,500/1000,1000,13003,1489.24,608335,FEMALE,JD,other-service,kayaking,wife,24-01-2015,Vehicle Theft,Others,Minor Damage,SC,Springfield,2,2,8060,1240,5580,Saab,95,Private,Urban,2004
227,38,279422,27-10-2013,OH,500/1000,500,13003,976.67,471600,FEMALE,PhD,handlers-cleaners,polo,unmarried,21-01-2015,Single Vehicle Collision,Rear Collision,Major Damage,SC,Northbrook,1,2,72200,14440,50540,BMW,M5,Private,Urban,2013
137,31,484200,12-10-1994,OH,250/500,2000,8458,1340.43,441175,MALE,High School,exec-managerial,paintball,husband,19-02-2015,Multi-vehicle Collision,Side Collision,Minor Damage,NC,Arlington,1,2,50800,10160,30480,Accura,MDX,Private,Urban,2005
244,40,645258,04-07-1997,OH,500/1000,2000,144000,1267.81,603123,FEMALE,Masters,exec-managerial,video-games,wife,03-01-2015,Vehicle Theft,Others,Trivial Damage,NC,Northbrook,2,1,6600,660,4620,Accura,TL,Commercial,Urban,2005
78,29,694662,15-02-2011,IL,250/500,1000,11215,1234.2,457767,MALE,Masters,other-service,bungie-jumping,other-relative,29-01-2015,Vehicle Theft,Others,Minor Damage,NY,Northbrook,2,2,7500,750,5250,Nissan,Maxima,Commercial,Urban,2002
200,35,960680,21-08-1994,IN,250/500,2000,23109,1318.06,618498,MALE,High School,exec-managerial,video-games,wife,19-01-2015,Vehicle Theft,Others,Trivial Damage,VA,Hillsdale,0,3,6490,1180,4130,Volkswagen,Jetta,Private,Urban,2002
284,48,498140,15-05-1997,IN,500/1000,2000,12527,769.95,605486,MALE,Masters,prof-specialty,movies,not-in-family,19-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,Hillsdale,2,3,60940,5540,44320,Audi,A3,Private,Urban,2013
275,41,498875,26-10-1996,OH,100/300,2000,5427,1514.72,617970,MALE,High School,transport-moving,board-games,own-child,02-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,Northbrook,0,1,58300,5830,40810,Suburu,Legacy,Commercial,Urban,2007
153,34,798177,04-03-2006,IL,500/1000,1000,9761,873.64,432934,FEMALE,Associate,priv-house-serv,yachting,husband,30-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,SC,Columbus,2,1,68400,11400,45600,Ford,F150,Private,Urban,2007
134,32,614763,02-01-1991,IL,500/1000,500,27547,1612.43,456762,FEMALE,MD,other-service,yachting,own-child,08-01-2015,Single Vehicle Collision,Side Collision,Total Loss,VA,Springfield,2,1,64240,11680,40880,BMW,3 Series,Commercial,Rural,2015
31,36,679370,15-08-1999,IL,500/1000,2000,12871,1318.24,601748,FEMALE,College,prof-specialty,kayaking,not-in-family,30-01-2015,Parked Car,Others,Trivial Damage,WV,Arlington,0,1,4700,940,3290,Dodge,Neon,Private,Urban,2002
41,25,958857,15-01-1992,IN,100/300,1000,21455,1226.83,607763,FEMALE,College,exec-managerial,exercise,not-in-family,07-01-2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,Columbus,2,0,45120,0,39480,Accura,MDX,Private,Urban,2011
127,29,686816,07-12-1999,OH,250/500,2000,803,1326.44,436973,FEMALE,High School,sales,board-games,own-child,24-02-2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,Arlington,1,1,66950,10300,46350,Saab,93,Private,Urban,1995
61,23,127754,06-06-1993,IL,250/500,2000,51505,1136.83,471300,FEMALE,Associate,tech-support,exercise,own-child,02-02-2015,Single Vehicle Collision,Side Collision,Major Damage,NY,Columbus,0,3,98340,8940,71520,Honda,Accord,Private,Urban,2004
207,42,918629,03-10-2000,IL,250/500,2000,0,1322.78,453277,MALE,PhD,farming-fishing,yachting,own-child,28-02-2015,Parked Car,Others,Trivial Damage,WV,Springfield,0,1,5900,590,4720,BMW,X5,Private,Rural,2007
219,43,731450,29-12-2010,IN,100/300,1000,55492,1483.25,465100,FEMALE,MD,exec-managerial,exercise,not-in-family,09-02-2015,Multi-vehicle Collision,Front Collision,Major Damage,NC,Riverwood,1,1,70680,5890,53010,Ford,Fusion,Commercial,Rural,2009
271,42,307447,17-03-1990,IL,100/300,500,10471,1515.3,603248,FEMALE,High School,machine-op-inspct,hiking,not-in-family,19-01-2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,Northbend,1,0,93720,17040,68160,Mercedes,ML350,Private,Urban,2005
80,25,992145,01-03-2012,IL,100/300,2000,0,1075.18,601112,FEMALE,PhD,armed-forces,exercise,husband,21-02-2015,Vehicle Theft,Others,Minor Damage,OH,Northbrook,2,0,6930,1260,5040,Toyota,Highlander,Private,Urban,2001
325,47,900628,05-02-2006,IN,500/1000,1000,0,1690.27,438830,FEMALE,Associate,protective-serv,hiking,not-in-family,14-01-2015,Single Vehicle Collision,Side Collision,Major Damage,VA,Springfield,0,3,72930,6630,59670,Dodge,RAM,Private,Rural,2006
29,25,235220,01-11-2014,IL,250/500,2000,66390,1352.83,464959,MALE,Masters,farming-fishing,skydiving,own-child,22-01-2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,Hillsdale,1,2,64890,7210,50470,Nissan,Pathfinder,Commercial,Urban,2013
295,48,740019,17-06-2009,OH,250/500,1000,0,1148.73,439787,FEMALE,College,machine-op-inspct,kayaking,wife,22-02-2015,Parked Car,Others,Trivial Damage,WV,Columbus,1,2,5400,900,3600,Saab,95,Commercial,Rural,1999
239,42,246882,20-09-1999,IL,100/300,1000,75385,969.5,464839,MALE,College,exec-managerial,reading,not-in-family,26-01-2015,Vehicle Theft,Others,Trivial Damage,NC,Northbrook,0,0,5600,700,4200,Audi,A3,Commercial,Urban,2007
269,41,797613,19-10-1990,IN,100/300,500,0,1463.82,448984,FEMALE,College,protective-serv,yachting,not-in-family,24-01-2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Northbend,0,0,79300,15860,47580,Saab,92x,Private,Urban,2007
80,27,193442,05-08-1996,IL,100/300,1000,0,1474.17,440327,FEMALE,College,tech-support,exercise,unmarried,19-02-2015,Single Vehicle Collision,Side Collision,Major Damage,WV,Northbend,1,0,52800,10560,36960,Saab,95,Commercial,Urban,2004
279,41,389238,06-06-2001,IL,250/500,500,75966,1497.35,460742,FEMALE,JD,prof-specialty,bungie-jumping,husband,29-01-2015,Multi-vehicle Collision,Front Collision,Minor Damage,NC,Northbrook,2,3,28800,0,25200,Ford,Fusion,Private,Urban,2013
165,33,760179,25-03-2007,OH,100/300,1000,49576,1427.14,446895,FEMALE,Associate,tech-support,kayaking,other-relative,15-02-2015,Parked Car,Others,Minor Damage,WV,Northbend,1,1,2970,330,2310,Toyota,Highlander,Private,Urban,2008
350,54,939905,31-10-2013,OH,500/1000,500,47996,1495.1,609374,MALE,College,other-service,basketball,wife,12-02-2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Northbend,0,0,93480,15580,70110,Chevrolet,Malibu,Commercial,Urban,2014
